[     235ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:21548
[  240359ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:8000/api/solve:0
[ 9271431ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5173/@vite/client:559
[ 9271769ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:21548
[71001526ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5173/@vite/client:559
[71001891ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:21548
[74682047ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5173/@vite/client:559
[74682458ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:21548
[83002430ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5173/@vite/client:559
[83002813ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:21548
[85095027ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095046ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095063ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095080ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095096ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095113ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095130ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095147ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095847ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095863ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095879ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095896ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095913ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095930ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095945ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85095963ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097342ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097364ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097379ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097419ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097430ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097447ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097463ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097463ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097480ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097496ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097513ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097529ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097546ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097563ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097580ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097596ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097630ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097675ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097696ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097713ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097730ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097753ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097763ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
